User_ID;Condition_ID;Timestamp;Run;Phase;IsPareto;Trust;Usability;CubeColorR;CubeColorG;CubeColorB;CubeTransparency;CubeVisibility;CylinderColorR;CylinderColorG;CylinderColorB;CylinderTransparency;CylinderVisibility
-1;-1;2024-07-27 15:38:58;0;sampling;FALSE;-0.6666665;-0.75;0.14243291318416595;0.36844033002853394;0.7033262252807617;0.2053261697292328;0.6385212540626526;0.5248199105262756;0.6897339224815369;0.07034031301736832;0.38787931203842163;0.3478575050830841
-1;-1;2024-07-27 15:39:03;1;sampling;FALSE;-1.0;-1.0;0.8920623064041138;0.21788758039474487;0.23673036694526672;0.4182852804660797;0.23814433813095093;0.49717891216278076;0.41901418566703796;0.5968995094299316;0.7285001873970032;0.3691858649253845
-1;-1;2024-07-27 15:39:09;2;sampling;FALSE;-0.6666665;-1.0;0.8713424205780029;0.2674584686756134;0.46344077587127686;0.7027899026870728;0.17473655939102173;0.9188914895057678;0.8165050148963928;0.5305959582328796;0.16288341581821442;0.6277124881744385
-1;-1;2024-07-27 15:39:17;3;sampling;FALSE;0.0;-0.5;0.553013026714325;0.24623888731002808;0.46365392208099365;0.69821697473526;0.5263152122497559;0.8923930525779724;0.16829563677310944;0.44216445088386536;0.46491289138793945;0.9788249135017395
-1;-1;2024-07-27 15:39:22;4;sampling;FALSE;-0.6666665;-0.5;0.4449779689311981;0.7550238966941833;0.9780754446983337;0.9023114442825317;0.17740389704704285;0.3651542067527771;0.06083446368575096;0.7171498537063599;0.5329118371009827;0.3204861879348755
-1;-1;2024-07-27 15:39:23;0;optimization;FALSE;-0.6666665;-0.5;0.4449779689311981;0.7550238966941833;0.9780754446983337;0.9023114442825317;0.17740389704704285;0.3651542067527771;0.06083446368575096;0.7171498537063599;0.5329118371009827;0.3204861879348755
-1;-1;2024-07-27 15:39:30;1;optimization;TRUE;0.33333349999999995;0.5;0.4706335292950304;0.2664671703439171;0.5106624849192376;0.7408369444524211;0.5870303141226568;0.9172787274115904;0.04900729501725622;0.42568391103916026;0.4675833072462485;1.0
-1;-1;2024-07-27 15:39:39;2;optimization;FALSE;0.16666650000000005;-1.0;0.37851522349293193;0.2869972234754132;0.5617693432669385;0.7904268838275261;0.6574321758168498;0.9501304187915925;0.0;0.4063934246108586;0.46952021087488205;1.0
-1;-1;2024-07-27 15:39:46;3;optimization;FALSE;-0.33333349999999995;-0.5;0.49797266388351785;0.33781567946213953;0.5536840316244972;0.7179199261892044;0.5550467265430945;0.8455458398244748;0.0;0.4005318159498154;0.4434939177129765;1.0
-1;-1;2024-07-27 15:39:53;4;optimization;FALSE;-1.0;-1.0;0.4434611304977335;0.17485323446150508;0.4598456605341961;0.7685430401008297;0.6244216526152899;1.0;0.06632317711366488;0.4558587941613547;0.49755169183128384;1.0
-1;-1;2024-07-27 15:40:00;5;optimization;FALSE;-0.6666665;-0.75;0.41760145186909675;0.44497376006588574;0.613772856410416;0.7569470725611128;0.6126881932204938;0.8883959437330189;0.2321933478924338;0.3689251029884811;0.43000870822115694;1.0
-1;-1;2024-07-27 15:40:08;6;optimization;FALSE;-0.8333335;-0.5;0.5038176993995247;0.27360344820528404;0.5384930859135577;0.7212218382005964;0.5510755569156844;0.907076402934675;0.01723822797248275;0.3870278344439681;0.3932350122953606;1.0
-1;-1;2024-07-27 15:40:14;7;optimization;FALSE;-0.16666650000000005;-0.5;0.4992466230818012;0.34717723640338455;0.4703210776700081;0.7044479688186109;0.5668329444504319;0.6966832561494614;0.0;0.5312346739684125;0.7220908192186596;1.0
-1;-1;2024-07-27 15:40:22;8;optimization;FALSE;0.33333349999999995;0.25;0.42577585739660206;0.4290648954017939;0.2850947027694653;0.8341444599460996;0.5727792052477411;0.6873444897289559;0.0;0.6209711272557953;0.4881719398234519;1.0
-1;-1;2024-07-27 15:40:30;9;optimization;TRUE;0.5;0.25;0.3875048828899219;0.4418561192817106;0.2675337529324508;0.8691011508875774;0.6082796792219822;0.6581190370892723;0.0;0.6499488994910824;0.4979542991476779;1.0
1;1;2024-07-27 15:42:04;0;sampling;FALSE;-1.0;-0.5;0.14243291318416595;0.36844033002853394;0.7033262252807617;0.2053261697292328;0.6385212540626526;0.5248199105262756;0.6897339224815369;0.07034031301736832;0.38787931203842163;0.3478575050830841
1;1;2024-07-27 15:42:09;1;sampling;FALSE;-1.0;-1.0;0.8920623064041138;0.21788758039474487;0.23673036694526672;0.4182852804660797;0.23814433813095093;0.49717891216278076;0.41901418566703796;0.5968995094299316;0.7285001873970032;0.3691858649253845
1;1;2024-07-27 15:42:15;2;sampling;FALSE;-1.0;-0.5;0.8713424205780029;0.2674584686756134;0.46344077587127686;0.7027899026870728;0.17473655939102173;0.9188914895057678;0.8165050148963928;0.5305959582328796;0.16288341581821442;0.6277124881744385
1;1;2024-07-27 15:42:23;3;sampling;FALSE;-0.8333335;-0.5;0.553013026714325;0.24623888731002808;0.46365392208099365;0.69821697473526;0.5263152122497559;0.8923930525779724;0.16829563677310944;0.44216445088386536;0.46491289138793945;0.9788249135017395
1;1;2024-07-27 15:42:29;4;sampling;FALSE;-1.0;-1.0;0.4449779689311981;0.7550238966941833;0.9780754446983337;0.9023114442825317;0.17740389704704285;0.3651542067527771;0.06083446368575096;0.7171498537063599;0.5329118371009827;0.3204861879348755
1;1;2024-07-27 15:42:30;0;optimization;FALSE;-1.0;-1.0;0.4449779689311981;0.7550238966941833;0.9780754446983337;0.9023114442825317;0.17740389704704285;0.3651542067527771;0.06083446368575096;0.7171498537063599;0.5329118371009827;0.3204861879348755
1;1;2024-07-27 15:42:39;1;optimization;TRUE;-0.5;-0.5;0.5477534277568812;0.23377648419683172;0.48045597234319065;0.7209690801660422;0.5324927834322777;0.9899440754143466;0.22152179395058647;0.41007189736782107;0.3382665973584974;1.0
1;1;2024-07-27 15:42:46;2;optimization;FALSE;-1.0;-0.5;0.6310473435155665;0.2508826279064085;0.4891288128688888;0.7235812329445748;0.43290309752151085;1.0;0.3540691055944266;0.4405078294193661;0.28313884083778545;0.9305816398278384
1;1;2024-07-27 15:42:54;3;optimization;FALSE;-0.6666665;-0.5;0.5054662067148872;0.2682980044715199;0.5624473051841852;0.5581519074842172;0.5661240608590975;0.9444244327464333;0.2159259216840443;0.35005288077758695;0.3366106343329074;0.9658503596199804
1;1;2024-07-27 15:43:02;4;optimization;FALSE;-0.8333335;-0.5;0.4996170378562041;0.40423637740024576;0.4289490342996003;0.6799395630321828;0.5860388867258717;0.9451715450421815;0.20560624128029506;0.3570982240975827;0.31541061705501094;0.9727307860732699
1;1;2024-07-27 15:43:09;5;optimization;TRUE;-0.33333349999999995;-0.5;0.5088148378118243;0.1902037044815192;0.4949463281067377;0.7274574820274987;0.5651825796620848;0.8668968767622642;0.22845229872296544;0.292635796256445;0.3178284849870029;0.9127688368700063
1;1;2024-07-27 15:43:17;6;optimization;TRUE;-0.16666650000000005;-0.5;0.4649120919739318;0.15018280253252356;0.4381543508463813;0.6793822566085607;0.6028786855334477;1.0;0.22794641947970143;0.31272893908583327;0.3442461257273438;0.8200210374473029
1;1;2024-07-27 15:43:25;7;optimization;TRUE;-0.16666650000000005;0.0;0.4437997713211674;0.11350234720851764;0.394314030321817;0.7105359151489907;0.6247801137142248;1.0;0.22515143499998427;0.28432050187074037;0.3032645597131487;0.9584009895721625
1;1;2024-07-27 15:43:33;8;optimization;FALSE;-0.8333335;-0.5;0.4555492659553786;0.11715656932398674;0.4517571636053263;0.7582454970098228;0.6219443010781786;1.0;0.20031852499445915;0.30344426628040355;0.2991526386877832;0.8852776529830156
1;1;2024-07-27 15:43:39;9;optimization;TRUE;0.0;0.0;0.40665992271510365;0.06136110759996487;0.2804909539456149;0.613544634744065;0.6395682649737068;0.9948374048305975;0.27661762671160584;0.21372109762751285;0.3187615891264971;1.0
